antecedent,consequent,combined,antecedent_support,consequent_support,pair_support,confidence_antecedent_consequent,confidence_consequent_antecedent
Activity=1,Previous 24 hour flare activity code=1,Activity=1|Previous 24 hour flare activity code=1,0.8461538461538461,0.9643527204502814,0.8433395872420263,0.9966740576496674,0.8745136186770428
Activity=1,Area=1,Activity=1|Area=1,0.8461538461538461,0.974671669793621,0.8386491557223265,0.991130820399113,0.8604427333974977
Activity=1,Area of the largest spot=1,Activity=1|Area of the largest spot=1,0.8461538461538461,1.0,0.8461538461538461,1.0,0.8461538461538461
Activity=1,Area=1|Previous 24 hour flare activity code=1,Activity=1|Area=1|Previous 24 hour flare activity code=1,0.8461538461538461,0.9474671669793621,0.8358348968105066,0.9878048780487806,0.8821782178217823
Activity=1,Area=1|Area of the largest spot=1,Activity=1|Area=1|Area of the largest spot=1,0.8461538461538461,0.974671669793621,0.8386491557223265,0.991130820399113,0.8604427333974977
Activity=1,Previous 24 hour flare activity code=1|Area of the largest spot=1,Activity=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.8461538461538461,0.9643527204502814,0.8433395872420263,0.9966740576496674,0.8745136186770428
Activity=1,Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,Activity=1|Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.8461538461538461,0.9474671669793621,0.8358348968105066,0.9878048780487806,0.8821782178217823
Previous 24 hour flare activity code=1,Area of the largest spot=1,Previous 24 hour flare activity code=1|Area of the largest spot=1,0.9643527204502814,1.0,0.9643527204502814,1.0,0.9643527204502814
Pass across the sun's disk=2,Previous 24 hour flare activity code=1,Pass across the sun's disk=2|Previous 24 hour flare activity code=1,0.875234521575985,0.9643527204502814,0.8395872420262664,0.9592711682743837,0.8706225680933852
Pass across the sun's disk=2,Area=1,Pass across the sun's disk=2|Area=1,0.875234521575985,0.974671669793621,0.849906191369606,0.9710610932475884,0.8719923002887392
Pass across the sun's disk=2,Area of the largest spot=1,Pass across the sun's disk=2|Area of the largest spot=1,0.875234521575985,1.0,0.875234521575985,1.0,0.875234521575985
Pass across the sun's disk=2,Area=1|Previous 24 hour flare activity code=1,Pass across the sun's disk=2|Area=1|Previous 24 hour flare activity code=1,0.875234521575985,0.9474671669793621,0.8227016885553471,0.939978563772776,0.8683168316831683
Pass across the sun's disk=2,Area=1|Area of the largest spot=1,Pass across the sun's disk=2|Area=1|Area of the largest spot=1,0.875234521575985,0.974671669793621,0.849906191369606,0.9710610932475884,0.8719923002887392
Pass across the sun's disk=2,Previous 24 hour flare activity code=1|Area of the largest spot=1,Pass across the sun's disk=2|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.875234521575985,0.9643527204502814,0.8395872420262664,0.9592711682743837,0.8706225680933852
Pass across the sun's disk=2,Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,Pass across the sun's disk=2|Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.875234521575985,0.9474671669793621,0.8227016885553471,0.939978563772776,0.8683168316831683
Area=1,Previous 24 hour flare activity code=1,Area=1|Previous 24 hour flare activity code=1,0.974671669793621,0.9643527204502814,0.9474671669793621,0.9720885466794995,0.9824902723735408
Area=1,Area of the largest spot=1,Area=1|Area of the largest spot=1,0.974671669793621,1.0,0.974671669793621,1.0,0.974671669793621
Area=1,Previous 24 hour flare activity code=1|Area of the largest spot=1,Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.974671669793621,0.9643527204502814,0.9474671669793621,0.9720885466794995,0.9824902723735408
Pass across the sun's disk=2|Area=1,Previous 24 hour flare activity code=1,Pass across the sun's disk=2|Area=1|Previous 24 hour flare activity code=1,0.849906191369606,0.9643527204502814,0.8227016885553471,0.967991169977925,0.853112840466926
Pass across the sun's disk=2|Area=1,Area of the largest spot=1,Pass across the sun's disk=2|Area=1|Area of the largest spot=1,0.849906191369606,1.0,0.849906191369606,1.0,0.849906191369606
Pass across the sun's disk=2|Area=1,Previous 24 hour flare activity code=1|Area of the largest spot=1,Pass across the sun's disk=2|Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.849906191369606,0.9643527204502814,0.8227016885553471,0.967991169977925,0.853112840466926
Pass across the sun's disk=2|Previous 24 hour flare activity code=1,Area of the largest spot=1,Pass across the sun's disk=2|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.8395872420262664,1.0,0.8395872420262664,1.0,0.8395872420262664
Activity=1|Area=1,Previous 24 hour flare activity code=1,Activity=1|Area=1|Previous 24 hour flare activity code=1,0.8386491557223265,0.9643527204502814,0.8358348968105066,0.9966442953020135,0.8667315175097277
Activity=1|Area=1,Area of the largest spot=1,Activity=1|Area=1|Area of the largest spot=1,0.8386491557223265,1.0,0.8386491557223265,1.0,0.8386491557223265
Activity=1|Area=1,Previous 24 hour flare activity code=1|Area of the largest spot=1,Activity=1|Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.8386491557223265,0.9643527204502814,0.8358348968105066,0.9966442953020135,0.8667315175097277
Activity=1|Previous 24 hour flare activity code=1,Area of the largest spot=1,Activity=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.8433395872420263,1.0,0.8433395872420263,1.0,0.8433395872420263
Area=1|Previous 24 hour flare activity code=1,Area of the largest spot=1,Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.9474671669793621,1.0,0.9474671669793621,1.0,0.9474671669793621
Pass across the sun's disk=2|Area=1|Previous 24 hour flare activity code=1,Area of the largest spot=1,Pass across the sun's disk=2|Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.8227016885553471,1.0,0.8227016885553471,1.0,0.8227016885553471
Activity=1|Area=1|Previous 24 hour flare activity code=1,Area of the largest spot=1,Activity=1|Area=1|Previous 24 hour flare activity code=1|Area of the largest spot=1,0.8358348968105066,1.0,0.8358348968105066,1.0,0.8358348968105066
